Dean,83647258,9312,515.0
Nick,57283910,4532,1205.0
Chris,19473286,2176,992.0
John,29584731,8357,684.0
Jake,47291856,7635,1023.0
Adam,81729563,4961,558.0
Eve,61829374,1842,1140.0
Anna,93752468,2837,635.0
Liam,46930281,3127,755.0
Sophia,18479362,9205,670.0
Mia,20484619,5512,415.0
Oliver,43876129,9734,980.0
Isabella,57231890,1864,1199.0
Lucas,79405162,5320,777.0
Lily,29047206,8471,890.0
Mason,67405139,2680,1020.0
Charlotte,92380746,5819,899.0
Amelia,34719948,7015,760.0
Ava,56382017,2986,670.0
James,61253970,4069,1305.0
William,28374062,1079,825.0
Benjamin,10648572,8632,1170.0
Ella,79832645,9501,659.0
Jack,73952048,4637,1024.0
Scarlett,23740698,5013,580.0
Ethan,38471659,3728,945.0
Victoria,25397162,5893,560.0
Grace,68907351,2104,1190.0
Mason,52648190,7842,430.0
Harper,46179235,2861,560.0
Chloe,38192467,1409,845.0
Henry,72956418,8450,780.0
Sebastian,67238510,9832,910.0
Logan,50286714,5642,520.0
Charlotte,37461258,9127,950.0
Leo,21384509,7814,870.0
Sophie,83710642,5618,1220.0
Daniel,48257391,2295,315.0
Oliver,24317805,3874,625.0
Madison,92860153,9745,1040.0
Lily,79541062,1357,820.0
Isabella,61473829,5062,998.0
Jacob,85902361,8026,645.0
William,10829754,2835,765.0
Aiden,27413689,7391,515.0
Benjamin,67421539,5912,670.0
Elijah,58296034,4726,780.0
Zoe,97084356,6031,435.0
Isaac,39875024,1850,785.0
Liam,15382640,9749,1125.0
Amelia,92457168,6123,950.0
Sophie,18975432,7548,445.0
Daniel,35790261,3206,980.0
Samuel,60501374,2305,515.0
Emma,13758629,5469,380.0
Mia,61497350,8792,695.0
Oliver,91246385,4291,1110.0
Charlotte,23869074,1036,1085.0
Lucy,32781549,6845,890.0
Ethan,74810236,5094,775.0
Charlotte,19502864,9341,1195.0
Benjamin,48951762,7364,810.0
Gabriel,31458672,5837,830.0
Lucas,72069314,2615,1015.0
Eve,82947150,4927,645.0
Mia,46530289,2101,560.0
Aiden,57968142,9735,580.0
Nora,92675348,8519,820.0
Henry,70298156,6312,960.0
Jack,27349562,4013,825.0
Amelia,48320519,7246,560.0
Oliver,67208349,8587,900.0
Victoria,39478215,9839,1050.0
Grace,51467293,7405,1065.0
Sophia,86529147,2193,745.0
Jacob,83620915,3264,1175.0
Grace,25631874,5089,850.0
Emily,70823569,8740,935.0
Liam,83607490,2406,520.0
William,95783614,7659,400.0
Isabella,69321457,1568,1055.0
Jack,38290750,3108,945.0
Benjamin,19483672,5410,775.0
Elijah,53796213,4761,720.0
Zoe,27813450,8497,460.0
Isaac,68201547,5629,650.0
Liam,79643210,3905,730.0
Amelia,53180694,1732,980.0
Sophie,84121753,5206,1135.0
Daniel,62405918,9426,1045.0
Samuel,19382647,7819,650.0
Emma,36750281,5189,435.0
Mia,25468179,1827,835.0
Oliver,30281567,6490,1110.0
Charlotte,61749250,2374,970.0
Lily,40823651,9833,420.0
Isabella,58670438,6510,1025.0
Leo,70251018,4195,925.0
Emily,45906314,5274,535.0
Aiden,64289350,6182,1010.0
Ella,37215948,9472,990.0
Madison,14605873,3547,535.0
Liam,83645792,5917,925.0
William,65702813,1298,765.0
Isabella,28736409,8021,820.0
Jack,50297463,5109,680.0
Ethan,82361549,4172,1040.0
Olivia,37590216,2639,975.0
Ava,43869521,6952,610.0
Benjamin,96283470,2906,670.0
Megan,50418362,7543,450.0
Samuel,16290748,8392,320.0
Lilly,24905761,9076,780.0
Ethan,81359720,5367,1020.0
Liam,92568412,1439,780.0
William,60853924,4732,845.0
Sophia,34278156,2570,925.0
Mia,43652781,6250,560.0
Oliver,71039685,3069,600.0
Charlotte,29715460,8517,1050.0
Zoe,86579421,4753,650.0
Aiden,49785236,2359,930.0
Gabriel,58293764,7104,1075.0
Lucas,38716259,4892,980.0
Sophie,67293540,5297,1120.0
Samuel,14785392,3401,650.0
